panel,series,x_cm_mm,log_probability_ratio,Rg_over_lc,Re_over_lc,log10_probability_ratio,tau_tr_min,probability_density_per_min,fitted_tau_c_min,temperature_C,mean_tau_tr_min,standard_error_min,n_events,fit_error_min
B,living worms 10 C over 20 C,,,0.141,0.181,0.229227,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.203,0.197571,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.225,0.201811,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.247,0.208226,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.269,0.197572,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.291,0.157668,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.313,0.0910919,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.335,0.0383718,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.357,-0.0189112,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.379,-0.0750842,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.401,-0.093657,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.423,-0.0839799,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.445,-0.0751726,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.467,-0.087397,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.489,-0.111951,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.511,-0.147752,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.533,-0.191652,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.005,0.160416,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.027,0.183628,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.049,0.099808,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.071,-0.0573359,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.093,-0.0944586,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.115,0.0212237,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.137,0.124703,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.159,0.169305,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.181,0.163354,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.203,0.11371,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.225,0.104122,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.247,0.108417,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.269,0.101284,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.291,0.0724816,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.313,0.0188557,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.335,-0.0281677,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.357,-0.0743441,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.379,-0.11379,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.401,-0.122975,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.423,-0.106955,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.445,-0.0859021,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.467,-0.0780315,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.489,-0.08618,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.511,-0.118691,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.533,-0.160168,,,,,,,,
B,living worms 10 C over 20 C,,,0.147,0.555,-0.186295,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.005,0.135639,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.027,0.212234,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.049,0.15087,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.071,-0.0566806,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.093,-0.136184,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.115,-0.0446066,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.137,0.0195149,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.159,0.0665147,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.181,0.0951825,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.203,0.0546083,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.225,0.0278089,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.247,0.0096159,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.269,-0.0128927,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.291,-0.0384254,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.313,-0.0740024,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.335,-0.104918,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.357,-0.126449,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.379,-0.145277,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.401,-0.155551,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.423,-0.145481,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.445,-0.123155,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.467,-0.100767,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.489,-0.0892707,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.511,-0.108645,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.533,-0.13479,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.555,-0.143845,,,,,,,,
B,living worms 10 C over 20 C,,,0.153,0.577,-0.155117,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.005,0.025236,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.027,0.141666,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.049,0.132251,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.071,-0.049257,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.093,-0.136686,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.115,-0.0846991,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.137,-0.0572591,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.159,-0.00785945,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.181,0.0516531,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.203,0.0369868,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.225,-0.00657241,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.247,-0.06089,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.269,-0.110408,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.291,-0.13956,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.313,-0.164841,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.335,-0.185148,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.357,-0.18471,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.379,-0.180003,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.401,-0.185437,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.423,-0.181044,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.445,-0.167337,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.467,-0.144027,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.489,-0.123392,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.511,-0.127149,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.533,-0.128564,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.555,-0.124395,,,,,,,,
B,living worms 10 C over 20 C,,,0.159,0.577,-0.14358,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.049,0.0830593,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.071,-0.00508657,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.093,-0.0900343,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.115,-0.123739,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.137,-0.132065,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.159,-0.0587446,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.181,0.0212602,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.203,0.0236693,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.225,-0.0217309,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.247,-0.0901816,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.269,-0.156823,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.291,-0.193021,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.313,-0.217325,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.335,-0.246605,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.357,-0.250886,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.379,-0.225711,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.401,-0.211458,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.423,-0.207324,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.445,-0.202311,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.467,-0.183321,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.489,-0.159689,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.511,-0.152582,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.533,-0.140398,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.555,-0.129296,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.577,-0.152231,,,,,,,,
B,living worms 10 C over 20 C,,,0.165,0.599,-0.20165,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.093,-0.023962,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.115,-0.152326,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.137,-0.220703,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.159,-0.137258,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.181,-0.0545249,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.203,-0.0390191,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.225,-0.0521575,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.247,-0.10153,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.269,-0.170577,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.291,-0.210627,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.313,-0.228007,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.335,-0.272187,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.357,-0.29704,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.379,-0.262184,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.401,-0.234124,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.423,-0.234161,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.445,-0.231822,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.467,-0.208852,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.489,-0.180229,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.511,-0.17438,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.533,-0.169755,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.555,-0.158742,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.577,-0.178389,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.599,-0.221454,,,,,,,,
B,living worms 10 C over 20 C,,,0.171,0.621,-0.248425,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.115,-0.146896,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.137,-0.243938,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.159,-0.165069,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.181,-0.0950686,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.203,-0.0843804,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.225,-0.0844535,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.247,-0.124196,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.269,-0.190416,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.291,-0.227205,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.313,-0.232434,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.335,-0.284442,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.357,-0.325963,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.379,-0.289363,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.401,-0.247215,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.423,-0.241063,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.445,-0.246547,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.467,-0.233267,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.489,-0.211328,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.511,-0.210087,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.533,-0.215994,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.555,-0.205447,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.577,-0.213653,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.599,-0.248575,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.621,-0.262652,,,,,,,,
B,living worms 10 C over 20 C,,,0.177,0.643,-0.218676,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.159,-0.151519,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.181,-0.113852,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.203,-0.131546,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.225,-0.135928,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.247,-0.139391,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.269,-0.174756,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.291,-0.219382,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.313,-0.241107,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.335,-0.29044,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.357,-0.328208,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.379,-0.292072,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.401,-0.240562,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.423,-0.233532,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.445,-0.259526,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.467,-0.262344,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.489,-0.246478,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.511,-0.247769,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.533,-0.261724,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.555,-0.251768,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.577,-0.249209,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.599,-0.269741,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.621,-0.271779,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.643,-0.244989,,,,,,,,
B,living worms 10 C over 20 C,,,0.183,0.665,-0.239202,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.203,-0.22617,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.225,-0.204641,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.247,-0.142494,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.269,-0.129708,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.291,-0.192269,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.313,-0.244143,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.335,-0.28189,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.357,-0.313102,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.379,-0.29322,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.401,-0.252291,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.423,-0.246691,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.445,-0.269924,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.467,-0.267035,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.489,-0.251411,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.511,-0.26888,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.533,-0.29107,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.555,-0.280708,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.577,-0.28129,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.599,-0.299341,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.621,-0.298117,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.643,-0.290823,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.665,-0.298594,,,,,,,,
B,living worms 10 C over 20 C,,,0.189,0.687,-0.291107,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.247,-0.157092,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.269,-0.128424,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.291,-0.184813,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.313,-0.239396,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.335,-0.256917,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.357,-0.276999,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.379,-0.288442,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.401,-0.287139,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.423,-0.282598,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.445,-0.275134,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.467,-0.254398,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.489,-0.237856,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.511,-0.267692,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.533,-0.300495,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.555,-0.299543,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.577,-0.311344,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.599,-0.337472,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.621,-0.343291,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.643,-0.341433,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.665,-0.337538,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.687,-0.313186,,,,,,,,
B,living worms 10 C over 20 C,,,0.195,0.709,-0.291381,,,,,,,,
B,living worms 10 C over 20 C,,,0.201,0.291,-0.185753,,,,,,,,
B,living worms 10 C over 20 C,,,0.201,0.313,-0.207402,,,,,,,,
B,living worms 10 C over 20 C,,,0.201,0.335,-0.207843,,,,,,,,
B,living worms 10 C over 20 C,,,0.201,0.357,-0.222822,,,,,,,,
B,living worms 10 C over 20 C,,,0.201,0.379,-0.264313,,,,,,,,
B,living worms 10 C over 20 C,,,0.201,0.401,-0.307678,,,,,,,,
B,living worms 10 C over 20 C,,,0.201,0.423,-0.313235,,,,,,,,
B,living worms 10 C over 20 C,,,0.201,0.445,-0.280087,,,,,,,,
B,living worms 10 C over 20 C,,,0.201,0.467,-0.251935,,,,,,,,
B,living worms 10 C over 20 C,,,0.201,0.489,-0.24102,,,,,,,,
B,living worms 10 C over 20 C,,,0.201,0.511,-0.266572,,,,,,,,
B,living worms 10 C over 20 C,,,0.201,0.533,-0.302811,,,,,,,,
B,living worms 10 C over 20 C,,,0.201,0.555,-0.315048,,,,,,,,
B,living worms 10 C over 20 C,,,0.201,0.577,-0.343665,,,,,,,,
B,living worms 10 C over 20 C,,,0.201,0.599,-0.38643,,,,,,,,
B,living worms 10 C over 20 C,,,0.201,0.621,-0.400983,,,,,,,,
B,living worms 10 C over 20 C,,,0.201,0.643,-0.383387,,,,,,,,
B,living worms 10 C over 20 C,,,0.201,0.665,-0.358395,,,,,,,,
B,living worms 10 C over 20 C,,,0.201,0.687,-0.330075,,,,,,,,
B,living worms 10 C over 20 C,,,0.201,0.709,-0.319342,,,,,,,,
B,living worms 10 C over 20 C,,,0.207,0.335,-0.160786,,,,,,,,
B,living worms 10 C over 20 C,,,0.207,0.357,-0.211397,,,,,,,,
B,living worms 10 C over 20 C,,,0.207,0.379,-0.274609,,,,,,,,
B,living worms 10 C over 20 C,,,0.207,0.401,-0.322953,,,,,,,,
B,living worms 10 C over 20 C,,,0.207,0.423,-0.326197,,,,,,,,
B,living worms 10 C over 20 C,,,0.207,0.445,-0.285012,,,,,,,,
B,living worms 10 C over 20 C,,,0.207,0.467,-0.266965,,,,,,,,
B,living worms 10 C over 20 C,,,0.207,0.489,-0.273731,,,,,,,,
B,living worms 10 C over 20 C,,,0.207,0.511,-0.296992,,,,,,,,
B,living worms 10 C over 20 C,,,0.207,0.533,-0.331864,,,,,,,,
B,living worms 10 C over 20 C,,,0.207,0.555,-0.358563,,,,,,,,
B,living worms 10 C over 20 C,,,0.207,0.577,-0.402289,,,,,,,,
B,living worms 10 C over 20 C,,,0.207,0.599,-0.455287,,,,,,,,
B,living worms 10 C over 20 C,,,0.207,0.621,-0.458536,,,,,,,,
B,living worms 10 C over 20 C,,,0.207,0.643,-0.402098,,,,,,,,
B,living worms 10 C over 20 C,,,0.207,0.665,-0.359892,,,,,,,,
B,living worms 10 C over 20 C,,,0.207,0.687,-0.345312,,,,,,,,
B,living worms 10 C over 20 C,,,0.207,0.709,-0.343911,,,,,,,,
B,living worms 10 C over 20 C,,,0.207,0.731,-0.341764,,,,,,,,
B,living worms 10 C over 20 C,,,0.213,0.357,-0.220622,,,,,,,,
B,living worms 10 C over 20 C,,,0.213,0.379,-0.309604,,,,,,,,
B,living worms 10 C over 20 C,,,0.213,0.401,-0.343588,,,,,,,,
B,living worms 10 C over 20 C,,,0.213,0.423,-0.318729,,,,,,,,
B,living worms 10 C over 20 C,,,0.213,0.445,-0.280746,,,,,,,,
B,living worms 10 C over 20 C,,,0.213,0.467,-0.285845,,,,,,,,
B,living worms 10 C over 20 C,,,0.213,0.489,-0.3104,,,,,,,,
B,living worms 10 C over 20 C,,,0.213,0.511,-0.343799,,,,,,,,
B,living worms 10 C over 20 C,,,0.213,0.533,-0.386339,,,,,,,,
B,living worms 10 C over 20 C,,,0.213,0.555,-0.43091,,,,,,,,
B,living worms 10 C over 20 C,,,0.213,0.577,-0.47502,,,,,,,,
B,living worms 10 C over 20 C,,,0.213,0.599,-0.515749,,,,,,,,
B,living worms 10 C over 20 C,,,0.213,0.621,-0.502223,,,,,,,,
B,living worms 10 C over 20 C,,,0.213,0.643,-0.43044,,,,,,,,
B,living worms 10 C over 20 C,,,0.213,0.665,-0.390941,,,,,,,,
B,living worms 10 C over 20 C,,,0.213,0.687,-0.3883,,,,,,,,
B,living worms 10 C over 20 C,,,0.213,0.709,-0.387388,,,,,,,,
B,living worms 10 C over 20 C,,,0.213,0.731,-0.375506,,,,,,,,
B,living worms 10 C over 20 C,,,0.213,0.753,-0.370302,,,,,,,,
B,living worms 10 C over 20 C,,,0.219,0.401,-0.352686,,,,,,,,
B,living worms 10 C over 20 C,,,0.219,0.423,-0.282102,,,,,,,,
B,living worms 10 C over 20 C,,,0.219,0.445,-0.255672,,,,,,,,
B,living worms 10 C over 20 C,,,0.219,0.467,-0.284376,,,,,,,,
B,living worms 10 C over 20 C,,,0.219,0.489,-0.320977,,,,,,,,
B,living worms 10 C over 20 C,,,0.219,0.511,-0.361787,,,,,,,,
B,living worms 10 C over 20 C,,,0.219,0.533,-0.40221,,,,,,,,
B,living worms 10 C over 20 C,,,0.219,0.555,-0.461904,,,,,,,,
B,living worms 10 C over 20 C,,,0.219,0.577,-0.518911,,,,,,,,
B,living worms 10 C over 20 C,,,0.219,0.599,-0.553416,,,,,,,,
B,living worms 10 C over 20 C,,,0.219,0.621,-0.546158,,,,,,,,
B,living worms 10 C over 20 C,,,0.219,0.643,-0.503488,,,,,,,,
B,living worms 10 C over 20 C,,,0.219,0.665,-0.483105,,,,,,,,
B,living worms 10 C over 20 C,,,0.219,0.687,-0.478089,,,,,,,,
B,living worms 10 C over 20 C,,,0.219,0.709,-0.462201,,,,,,,,
B,living worms 10 C over 20 C,,,0.219,0.731,-0.438963,,,,,,,,
B,living worms 10 C over 20 C,,,0.219,0.753,-0.441473,,,,,,,,
B,living worms 10 C over 20 C,,,0.219,0.775,-0.473088,,,,,,,,
B,living worms 10 C over 20 C,,,0.225,0.445,-0.237652,,,,,,,,
B,living worms 10 C over 20 C,,,0.225,0.467,-0.273234,,,,,,,,
B,living worms 10 C over 20 C,,,0.225,0.489,-0.317115,,,,,,,,
B,living worms 10 C over 20 C,,,0.225,0.511,-0.360981,,,,,,,,
B,living worms 10 C over 20 C,,,0.225,0.533,-0.384971,,,,,,,,
B,living worms 10 C over 20 C,,,0.225,0.555,-0.442594,,,,,,,,
B,living worms 10 C over 20 C,,,0.225,0.577,-0.522012,,,,,,,,
B,living worms 10 C over 20 C,,,0.225,0.599,-0.570302,,,,,,,,
B,living worms 10 C over 20 C,,,0.225,0.621,-0.580277,,,,,,,,
B,living worms 10 C over 20 C,,,0.225,0.643,-0.568903,,,,,,,,
B,living worms 10 C over 20 C,,,0.225,0.665,-0.567142,,,,,,,,
B,living worms 10 C over 20 C,,,0.225,0.687,-0.566665,,,,,,,,
B,living worms 10 C over 20 C,,,0.225,0.709,-0.541186,,,,,,,,
B,living worms 10 C over 20 C,,,0.225,0.731,-0.507372,,,,,,,,
B,living worms 10 C over 20 C,,,0.225,0.753,-0.510475,,,,,,,,
B,living worms 10 C over 20 C,,,0.225,0.775,-0.552336,,,,,,,,
B,living worms 10 C over 20 C,,,0.225,0.797,-0.612877,,,,,,,,
B,living worms 10 C over 20 C,,,0.231,0.511,-0.349793,,,,,,,,
B,living worms 10 C over 20 C,,,0.231,0.533,-0.365413,,,,,,,,
B,living worms 10 C over 20 C,,,0.231,0.555,-0.433507,,,,,,,,
B,living worms 10 C over 20 C,,,0.231,0.577,-0.538431,,,,,,,,
B,living worms 10 C over 20 C,,,0.231,0.599,-0.589688,,,,,,,,
B,living worms 10 C over 20 C,,,0.231,0.621,-0.59579,,,,,,,,
B,living worms 10 C over 20 C,,,0.231,0.643,-0.600992,,,,,,,,
B,living worms 10 C over 20 C,,,0.231,0.665,-0.610433,,,,,,,,
B,living worms 10 C over 20 C,,,0.231,0.687,-0.615245,,,,,,,,
B,living worms 10 C over 20 C,,,0.231,0.709,-0.591545,,,,,,,,
B,living worms 10 C over 20 C,,,0.231,0.731,-0.561228,,,,,,,,
B,living worms 10 C over 20 C,,,0.231,0.753,-0.562,,,,,,,,
B,living worms 10 C over 20 C,,,0.231,0.775,-0.602054,,,,,,,,
B,living worms 10 C over 20 C,,,0.231,0.797,-0.664802,,,,,,,,
B,living worms 10 C over 20 C,,,0.237,0.555,-0.448958,,,,,,,,
B,living worms 10 C over 20 C,,,0.237,0.577,-0.589152,,,,,,,,
B,living worms 10 C over 20 C,,,0.237,0.599,-0.640116,,,,,,,,
B,living worms 10 C over 20 C,,,0.237,0.621,-0.630168,,,,,,,,
B,living worms 10 C over 20 C,,,0.237,0.643,-0.637423,,,,,,,,
B,living worms 10 C over 20 C,,,0.237,0.665,-0.641109,,,,,,,,
